sim result, 0
total time, 2099.406250
total energy, 73895.875000
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE,TmotorCase,Twindings
2,96.000000,-0.001802,0.032432,5.712975,13.610989,-1.466900,1.079500,2.137759,1.815497,11.795491,0.135580,0.174677,15.211762,25.254566,27.617863
2,97.000000,-0.001823,0.031290,5.736657,13.631704,-1.484559,1.065228,2.080760,1.726567,11.905137,0.136841,0.173958,15.231793,25.257750,27.633997
2,98.000000,-0.001845,0.030147,5.760462,13.652527,-1.502217,1.052141,2.024007,1.639069,12.013457,0.138086,0.173237,15.251577,25.260935,27.650120
2,99.000000,-0.001867,0.029005,5.784383,13.673452,-1.519876,1.040198,1.967600,1.553060,12.120392,0.139315,0.172521,15.271682,25.264124,27.666231
2,100.000000,-0.001888,0.027862,5.808418,13.694476,-1.537535,1.029359,1.911647,1.468610,12.225866,0.140527,0.171808,15.291928,25.267317,27.682333
2,101.000000,-0.001922,0.027062,5.832562,13.715596,-1.564677,1.024956,1.877482,1.402899,12.312696,0.141525,0.171096,15.312133,25.270512,27.698425
2,102.000000,-0.001955,0.026262,5.856776,13.736775,-1.591820,1.021026,1.843266,1.337610,12.399165,0.142519,0.170388,15.332380,25.273710,27.714506
2,103.000000,-0.001988,0.025462,5.881060,13.758018,-1.618963,1.017558,1.809043,1.272777,12.485241,0.143509,0.169688,15.353065,25.276911,27.730577
2,104.000000,-0.002022,0.024662,5.905411,13.779318,-1.646106,1.014546,1.774858,1.208436,12.570882,0.144493,0.168987,15.373478,25.280115,27.746639
2,105.000000,-0.002055,0.023863,5.929829,13.800676,-1.673248,1.011979,1.740767,1.144636,12.656040,0.145472,0.168292,15.394046,25.283321,27.762691
2,106.000000,-0.002088,0.023063,5.954310,13.822092,-1.700391,1.009850,1.706812,1.081409,12.740683,0.146445,0.167599,15.414596,25.286531,27.778736
2,107.000000,-0.002122,0.022263,5.978855,13.843561,-1.727534,1.008150,1.673046,1.018801,12.824760,0.147411,0.166914,15.435482,25.289743,27.794771
2,108.000000,-0.002155,0.021463,6.003459,13.865082,-1.754677,1.006872,1.639530,0.956864,12.908218,0.148370,0.166230,15.456285,25.292959,27.810797
2,109.000000,-0.002188,0.020663,6.028123,13.886657,-1.781820,1.006006,1.606315,0.895640,12.991016,0.149322,0.165550,15.477000,25.296177,27.826815
2,110.000000,-0.002222,0.019863,6.052843,13.908278,-1.808963,1.005547,1.573460,0.835182,13.073096,0.150265,0.164873,15.497841,25.299397,27.842823
2,111.000000,-0.002264,0.019303,6.077618,13.929950,-1.843804,1.007928,1.553780,0.783043,13.146907,0.151114,0.164202,15.518806,25.302618,27.858824
2,112.000000,-0.002307,0.018744,6.102431,13.951654,-1.878645,1.010496,1.534113,0.731102,13.220552,0.151960,0.163536,15.539937,25.305843,27.874817
2,113.000000,-0.002350,0.018184,6.127282,13.973392,-1.913486,1.013249,1.514480,0.679381,13.294010,0.152805,0.162874,15.560977,25.309071,27.890802
2,114.000000,-0.002393,0.017624,6.152170,13.995162,-1.948327,1.016187,1.494909,0.627907,13.367255,0.153647,0.162216,15.582158,25.312300,27.906780
2,115.000000,-0.002436,0.017064,6.177094,14.016964,-1.983168,1.019308,1.475426,0.576704,13.440260,0.154486,0.161561,15.603168,25.315531,27.922750
2,116.000000,-0.002478,0.016504,6.202053,14.038795,-2.018010,1.022612,1.456061,0.525802,13.512994,0.155322,0.160913,15.624448,25.318764,27.938713
2,117.000000,-0.002521,0.015944,6.227046,14.060658,-2.052851,1.026097,1.436842,0.475227,13.585432,0.156154,0.160267,15.645595,25.321999,27.954668
2,118.000000,-0.002564,0.015384,6.252072,14.082549,-2.087692,1.029763,1.417799,0.425009,13.657539,0.156983,0.159627,15.666900,25.325235,27.970615
2,119.000000,-0.002607,0.014824,6.277131,14.104469,-2.122533,1.033610,1.398964,0.375180,13.729290,0.157808,0.158991,15.688255,25.328474,27.986557
2,120.000000,-0.002650,0.014264,6.302221,14.126414,-2.157374,1.037637,1.380368,0.325769,13.800645,0.158628,0.158360,15.709679,25.331715,28.002491
2,121.000000,-0.002693,0.013872,6.327342,14.148389,-2.192911,1.043046,1.369633,0.284906,13.863482,0.159350,0.157730,15.730902,25.334957,28.018419
2,122.000000,-0.002737,0.013480,6.352476,14.170373,-2.228449,1.048546,1.358916,0.244151,13.926222,0.160072,0.157109,15.752542,25.338202,28.034340
2,123.000000,-0.002781,0.013089,6.377625,14.192373,-2.263986,1.054138,1.348231,0.203521,13.988853,0.160791,0.156489,15.773754,25.341448,28.050255
2,124.000000,-0.002824,0.012697,6.402787,14.214383,-2.299524,1.059821,1.337594,0.163030,14.051353,0.161510,0.155877,15.795426,25.344696,28.066164
2,125.000000,-0.002868,0.012305,6.427963,14.236406,-2.335061,1.065597,1.327019,0.122693,14.113713,0.162227,0.155266,15.816736,25.347946,28.082066
2,126.000000,-0.002911,0.011913,6.453151,14.258437,-2.370599,1.071466,1.316522,0.082527,14.175910,0.162942,0.154661,15.838266,25.351198,28.097961
2,127.000000,-0.002955,0.011521,6.478352,14.280481,-2.406136,1.077428,1.306119,0.042550,14.237932,0.163654,0.154060,15.859692,25.354452,28.113852
2,128.000000,-0.002999,0.011129,6.503564,14.302534,-2.441673,1.083483,1.295829,0.002777,14.299757,0.164365,0.153465,15.881353,25.357708,28.129736
2,129.000000,-0.003042,0.010737,6.528789,14.324598,-2.477211,1.089633,1.285666,-0.036773,14.361372,0.165073,0.152872,15.902886,25.360966,28.145615
2,130.000000,-0.003086,0.010345,6.554024,14.346673,-2.512748,1.095878,1.275650,-0.076081,14.422754,0.165779,0.152285,15.924467,25.364223,28.161488
2,131.000000,-0.003123,0.010071,6.579269,14.368755,-2.543166,1.102844,1.270308,-0.104876,14.473631,0.166364,0.151700,15.945946,25.367483,28.177355
2,132.000000,-0.003161,0.009796,6.604507,14.390831,-2.573583,1.109862,1.264979,-0.133604,14.524435,0.166948,0.151123,15.967670,25.370745,28.193216
2,133.000000,-0.003198,0.009522,6.629736,14.412901,-2.604001,1.116933,1.259670,-0.162259,14.575159,0.167531,0.150548,15.989166,25.374008,28.209074
2,134.000000,-0.003235,0.009248,6.654958,14.434962,-2.634419,1.124058,1.254393,-0.190830,14.625793,0.168113,0.149979,16.010860,25.377274,28.224926
2,135.000000,-0.003273,0.008973,6.680171,14.457016,-2.664836,1.131236,1.249153,-0.219309,14.676325,0.168693,0.149414,16.032463,25.380539,28.240772
2,136.000000,-0.003310,0.008699,6.705376,14.479063,-2.695254,1.138469,1.243961,-0.247686,14.726748,0.169273,0.148855,16.054224,25.383806,28.256615
2,137.000000,-0.003348,0.008425,6.730573,14.501103,-2.725672,1.145756,1.238824,-0.275952,14.777056,0.169851,0.148298,16.075665,25.387075,28.272451
2,138.000000,-0.003385,0.008150,6.755762,14.523137,-2.756089,1.153099,1.233754,-0.304098,14.827235,0.170428,0.147746,16.097342,25.390347,28.288282
2,139.000000,-0.003422,0.007876,6.780941,14.545162,-2.786506,1.160497,1.228759,-0.332112,14.877275,0.171003,0.147199,16.118965,25.393620,28.304110
2,140.000000,-0.003460,0.007602,6.806113,14.567179,-2.816924,1.167951,1.223849,-0.359986,14.927165,0.171577,0.146656,16.140612,25.396893,28.319931
2,141.000000,-0.003488,0.007409,6.831275,14.589190,-2.840181,1.175800,1.221726,-0.377517,14.966707,0.172031,0.146117,16.162262,25.400167,28.335749
2,142.000000,-0.003517,0.007217,6.856412,14.611176,-2.863438,1.183682,1.219611,-0.395007,15.006183,0.172485,0.145582,16.183844,25.403444,28.351561
2,143.000000,-0.003545,0.007025,6.881523,14.633142,-2.886695,1.191597,1.217508,-0.412451,15.045592,0.172938,0.145052,16.205418,25.406723,28.367369
2,144.000000,-0.003574,0.006833,6.906608,14.655085,-2.909952,1.199547,1.215422,-0.429844,15.084929,0.173390,0.144526,16.226992,25.410002,28.383173
2,145.000000,-0.003602,0.006641,6.931667,14.677003,-2.933208,1.207530,1.213358,-0.447182,15.124186,0.173841,0.144005,16.248577,25.413282,28.398972
2,146.000000,-0.003631,0.006449,6.956701,14.698902,-2.956465,1.215548,1.211320,-0.464459,15.163361,0.174292,0.143489,16.270222,25.416565,28.414766
2,147.000000,-0.003660,0.006257,6.981709,14.720778,-2.979722,1.223600,1.209315,-0.481669,15.202447,0.174741,0.142975,16.291586,25.419847,28.430557
2,148.000000,-0.003688,0.006065,7.006693,14.742633,-3.002979,1.231687,1.207346,-0.498807,15.241440,0.175189,0.142467,16.313194,25.423132,28.446344
2,149.000000,-0.003717,0.005873,7.031651,14.764464,-3.026235,1.239810,1.205419,-0.515868,15.280333,0.175636,0.141962,16.334747,25.426418,28.462128
2,150.000000,-0.003745,0.005681,7.056585,14.786273,-3.049492,1.247968,1.203539,-0.532846,15.319119,0.176082,0.141462,16.356241,25.429707,28.477905
2,151.000000,-0.003770,0.005583,7.081494,14.808061,-3.069511,1.256468,1.204358,-0.543546,15.351607,0.176455,0.140964,16.377571,25.432995,28.493679
2,152.000000,-0.003794,0.005484,7.106368,14.829820,-3.089529,1.264987,1.205166,-0.554237,15.384057,0.176828,0.140473,16.399126,25.436285,28.509449
2,153.000000,-0.003819,0.005386,7.131207,14.851547,-3.109548,1.273526,1.205964,-0.564919,15.416466,0.177201,0.139984,16.420519,25.439577,28.525215
2,154.000000,-0.003844,0.005287,7.156013,14.873243,-3.129566,1.282086,1.206753,-0.575588,15.448832,0.177573,0.139501,16.442024,25.442871,28.540977
2,155.000000,-0.003868,0.005189,7.180785,14.894913,-3.149584,1.290666,1.207534,-0.586245,15.481158,0.177944,0.139020,16.463352,25.446165,28.556736
2,156.000000,-0.003893,0.005090,7.205523,14.916552,-3.169603,1.299267,1.208309,-0.596889,15.513441,0.178315,0.138546,16.484907,25.449461,28.572491
2,157.000000,-0.003917,0.004992,7.230227,14.938161,-3.189621,1.307888,1.209078,-0.607517,15.545678,0.178686,0.138072,16.506113,25.452759,28.588242
2,158.000000,-0.003942,0.004894,7.254899,14.959742,-3.209640,1.316529,1.209842,-0.618130,15.577871,0.179056,0.137604,16.527515,25.456057,28.603989
2,159.000000,-0.003967,0.004795,7.279538,14.981296,-3.229658,1.325191,1.210603,-0.628724,15.610020,0.179426,0.137140,16.548874,25.459356,28.619732
2,160.000000,-0.003991,0.004697,7.304145,15.002819,-3.249676,1.333875,1.211363,-0.639300,15.642119,0.179794,0.136679,16.570066,25.462658,28.635471
2,161.000000,-0.004017,0.004916,7.328719,15.024315,-3.270951,1.343526,1.220928,-0.641359,15.665674,0.180065,0.136222,16.591362,25.465961,28.651207
2,162.000000,-0.004043,0.005135,7.353248,15.045771,-3.292226,1.353231,1.230946,-0.642911,15.688682,0.180330,0.135769,16.612677,25.469265,28.666939
2,163.000000,-0.004070,0.005354,7.377731,15.067187,-3.313501,1.362990,1.241429,-0.643944,15.711131,0.180588,0.135319,16.633783,25.472570,28.682667
2,164.000000,-0.004096,0.005573,7.402168,15.088563,-3.334776,1.372804,1.252390,-0.644444,15.733006,0.180839,0.134874,16.654978,25.475878,28.698393
2,165.000000,-0.004122,0.005792,7.426558,15.109897,-3.356051,1.382673,1.263842,-0.644398,15.754294,0.181084,0.134431,16.676029,25.479187,28.714115
2,166.000000,-0.004148,0.006011,7.450902,15.131189,-3.377326,1.392598,1.275797,-0.643793,15.774982,0.181322,0.133994,16.697269,25.482496,28.729834
