sim result, 0
total time, 121.207184
total energy, 7184.387695
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE
0,148.000000,-0.003688,0.006065,7.649438,0.000000,-3.002981,1.468025,1.311803,-0.158015,0.158015,0.001816,0.130723,0.000000
0,149.000000,-0.003717,0.005873,7.649676,0.000000,-3.026238,1.467326,1.303962,-0.189812,0.189812,0.002182,0.130721,0.000000
0,150.000000,-0.003745,0.005681,7.649961,0.000000,-3.049495,1.466671,1.296381,-0.221305,0.221305,0.002544,0.130771,0.000000
0,151.000000,-0.003770,0.005583,7.650294,0.000000,-3.069514,1.466418,1.292622,-0.245335,0.245335,0.002820,0.130692,0.000000
0,152.000000,-0.003794,0.005484,7.650662,0.000000,-3.089532,1.466185,1.288935,-0.269274,0.269274,0.003095,0.130710,0.000000
0,153.000000,-0.003819,0.005386,7.651067,0.000000,-3.109550,1.465972,1.285318,-0.293122,0.293122,0.003369,0.130651,0.000000
0,154.000000,-0.003844,0.005287,7.651507,0.000000,-3.129569,1.465780,1.281772,-0.316878,0.316878,0.003642,0.130736,0.000000
0,155.000000,-0.003868,0.005189,7.651983,0.000000,-3.149587,1.465609,1.278297,-0.340543,0.340543,0.003914,0.130684,0.000000
0,156.000000,-0.003893,0.005090,7.652495,0.000000,-3.169605,1.465458,1.274891,-0.364118,0.364118,0.004185,0.130628,0.000000
0,157.000000,-0.003917,0.004992,7.653042,0.000000,-3.189624,1.465328,1.271557,-0.387601,0.387601,0.004455,0.130679,0.000000
0,158.000000,-0.003942,0.004894,7.653624,0.000000,-3.209642,1.465217,1.268292,-0.410995,0.410995,0.004724,0.130660,0.000000
0,159.000000,-0.003967,0.004795,7.654241,0.000000,-3.229661,1.465127,1.265097,-0.434299,0.434299,0.004992,0.130625,0.000000
0,160.000000,-0.003991,0.004697,7.654893,0.000000,-3.249679,1.465057,1.261971,-0.457513,0.457513,0.005259,0.130622,0.000000
0,161.000000,-0.004017,0.004916,7.655580,0.000000,-3.270954,1.466041,1.269343,-0.470432,0.470432,0.005407,0.130626,0.000000
0,162.000000,-0.004043,0.005135,7.656286,0.000000,-3.292229,1.467067,1.277053,-0.482972,0.482972,0.005551,0.130605,0.000000
0,163.000000,-0.004070,0.005354,7.657012,0.000000,-3.313504,1.468134,1.285102,-0.495131,0.495131,0.005691,0.130605,0.000000
0,164.000000,-0.004096,0.005573,7.657755,0.000000,-3.334780,1.469243,1.293489,-0.506909,0.506909,0.005827,0.130573,0.000000
0,165.000000,-0.004122,0.005792,7.658515,0.000000,-3.356055,1.470393,1.302216,-0.518307,0.518307,0.005958,0.130545,0.000000
0,166.000000,-0.004148,0.006011,7.659293,0.000000,-3.377329,1.471585,1.311282,-0.529323,0.529323,0.006084,0.130560,0.000000
0,167.000000,-0.004174,0.006230,7.660088,0.000000,-3.398605,1.472819,1.320689,-0.539959,0.539959,0.006206,0.130532,0.000000
0,168.000000,-0.004200,0.006450,7.660898,0.000000,-3.419880,1.474094,1.330435,-0.550212,0.550212,0.006324,0.130535,0.000000
0,169.000000,-0.004226,0.006669,7.661723,0.000000,-3.441155,1.475410,1.340523,-0.560084,0.560084,0.006438,0.130485,0.000000
0,170.000000,-0.004252,0.006888,7.662563,0.000000,-3.462430,1.476768,1.350951,-0.569573,0.569573,0.006547,0.130495,0.000000
0,171.000000,-0.004282,0.006753,7.663418,0.000000,-3.486251,1.476457,1.344764,-0.599891,0.599891,0.006895,0.130490,0.000000
